小区名称,地址,建筑年份,楼栋,单元,户室,朝向,面积
123,1234,2000,1,1,101,南北,140
123,1234,2000,1,1,102,南北,140
123,1234,2000,1,1,201,南北,140
123,1234,2000,1,1,202,南北,140
123,1234,2000,1,1,301,南北,140
123,1234,2000,1,1,302,南北,140
123,1234,2000,1,1,401,南北,140
123,1234,2000,1,1,402,南北,140
123,1234,2000,1,1,501,南北,140
123,1234,2000,1,1,502,南北,140
123,1234,2000,1,1,601,南北,140
123,1234,2000,1,1,602,南北,140
123,1234,2000,1,1,701,南北,140
123,1234,2000,1,1,702,南北,140
123,1234,2000,1,1,801,南北,140
123,1234,2000,1,1,802,南北,140
123,1234,2000,1,1,901,南北,140
123,1234,2000,1,1,902,南北,140
123,1234,2000,1,1,1001,南北,140
123,1234,2000,1,1,1002,南北,140
123,1234,2000,1,2,101,东西,50
123,1234,2000,1,2,201,东西,50
123,1234,2000,1,2,301,东西,50
123,1234,2000,1,2,401,东西,50
123,1234,2000,1,2,501,东西,50
123,1234,2000,1,2,601,东西,50
123,1234,2000,1,2,701,东西,50
123,1234,2000,1,2,801,东西,50
123,1234,2000,1,2,901,东西,50
123,1234,2000,1,2,1001,东西,50
123,1234,2000,1,2,1101,东西,50
123,1234,2000,1,2,1201,东西,50
123,1234,2000,1,2,1301,东西,50
123,1234,2000,1,2,1401,东西,50
123,1234,2000,1,2,1501,东西,50
123,1234,2000,1,2,1601,东西,50
123,1234,2000,1,2,1701,东西,50
123,1234,2000,1,2,1801,东西,50
123,1234,2000,1,2,1901,东西,50
123,1234,2000,1,2,2001,东西,50
123,1234,2000,1,2,2101,东西,50
123,1234,2000,1,2,2201,东西,50
123,1234,2000,1,2,2301,东西,50
123,1234,2000,1,2,2401,东西,50
123,1234,2000,1,2,2501,东西,50
123,1234,2000,1,2,2601,东西,50
123,1234,2000,1,2,2701,东西,50
123,1234,2000,1,2,2801,东西,50
123,1234,2000,1,2,2901,东西,50
123,1234,2000,1,2,3001,东西,50
123,1234,2000,1,2,3101,东西,50
123,1234,2000,1,2,3201,东西,50
123,1234,2000,1,2,3301,东西,50
123,1234,2000,1,2,3401,东西,50
123,1234,2000,1,2,3501,东西,50
123,1234,2000,1,2,3601,东西,50
123,1234,2000,1,2,3701,东西,50
123,1234,2000,1,2,3801,东西,50
123,1234,2000,1,2,3901,东西,50
123,1234,2000,1,2,4001,东西,50
123,1234,2000,1,2,4101,东西,50
123,1234,2000,1,2,4201,东西,50
123,1234,2000,1,2,4301,东西,50
123,1234,2000,1,2,4401,东西,50
123,1234,2000,1,2,4501,东西,50
123,1234,2000,1,2,4601,东西,50
123,1234,2000,1,2,4701,东西,50
123,1234,2000,1,2,4801,东西,50
123,1234,2000,1,2,4901,东西,50
123,1234,2000,1,2,5001,东西,50
123,1234,2000,1,2,5101,东西,50
123,1234,2000,1,2,5201,东西,50
123,1234,2000,1,2,5301,东西,50
123,1234,2000,1,2,5401,东西,50
123,1234,2000,1,2,5501,东西,50
123,1234,2000,1,2,5601,东西,50
123,1234,2000,1,2,5701,东西,50
123,1234,2000,1,2,5801,东西,50
123,1234,2000,1,2,5901,东西,50
123,1234,2000,1,2,6001,东西,50
123,1234,2000,1,2,6101,东西,50
123,1234,2000,1,2,6201,东西,50
123,1234,2000,1,2,6301,东西,50
123,1234,2000,1,2,6401,东西,50
123,1234,2000,1,2,6501,东西,50
123,1234,2000,1,2,6601,东西,50
123,1234,2000,1,2,6701,东西,50
123,1234,2000,1,2,6801,东西,50
123,1234,2000,1,2,6901,东西,50
123,1234,2000,1,2,7001,东西,50
123,1234,2000,1,2,7101,东西,50
123,1234,2000,1,2,7201,东西,50
123,1234,2000,1,2,7301,东西,50
123,1234,2000,1,2,7401,东西,50
123,1234,2000,1,2,7501,东西,50
123,1234,2000,1,2,7601,东西,50
123,1234,2000,1,2,7701,东西,50
123,1234,2000,1,2,7801,东西,50
123,1234,2000,1,2,7901,东西,50
123,1234,2000,1,2,8001,东西,50
123,1234,2000,1,2,8101,东西,50
123,1234,2000,1,2,8201,东西,50
123,1234,2000,1,2,8301,东西,50
123,1234,2000,1,2,8401,东西,50
123,1234,2000,1,2,8501,东西,50
123,1234,2000,1,2,8601,东西,50
123,1234,2000,1,2,8701,东西,50
123,1234,2000,1,2,8801,东西,50
123,1234,2000,1,2,8901,东西,50
123,1234,2000,1,2,9001,东西,50
123,1234,2000,1,2,9101,东西,50
123,1234,2000,1,2,9201,东西,50
123,1234,2000,1,2,9301,东西,50
123,1234,2000,1,2,9401,东西,50
123,1234,2000,1,2,9501,东西,50
123,1234,2000,1,2,9601,东西,50
123,1234,2000,1,2,9701,东西,50
123,1234,2000,1,2,9801,东西,50
123,1234,2000,1,2,9901,东西,50
123,1234,2000,1,2,10001,东西,50
123,1234,2000,1,2,10101,东西,50
123,1234,2000,1,2,10201,东西,50
123,1234,2000,1,3,101,南北,50
123,1234,2000,1,3,201,南北,50
